,,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
UKM77,Perth and Kinross and Stirling,15092,14926,15043,15450,16237,16780,18370,19316,20596,21447,21176,21758,21261,21447,23163,24491,24972,26006,27309,28014
UKM78,West Lothian,15518,15849,15998,16315,17125,18331,19709,20168,20645,21346,21453,21670,21546,22535,21161,20225,22052,22171,22425,22909
UKM81,"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",9038,8933,9633,9755,10313,10879,10999,11781,12868,13149,13616,13177,13007,13806,14481,14663,15318,15531,15680,16092
UKM82,Glasgow City,17292,17658,18421,19678,20328,21876,23521,25463,26041,26608,27633,27628,26442,26820,27786,29031,30383,30131,30609,31490
UKM83,"Inverclyde, East Renfrewshire and Renfrewshire",12584,12377,12608,13091,13212,13740,14507,15315,15989,15892,16435,15906,15616,15760,15579,16492,17572,17963,18758,19082
UKM84,North Lanarkshire,8692,9111,9617,10300,10985,11401,12353,13346,14334,14701,14887,14881,14595,15042,15202,16110,17825,17620,17859,18802
UKM91,Scottish Borders,9312,9838,9725,10191,10366,10864,11417,11464,12291,12836,12864,12163,12751,13383,13779,14624,15355,15280,15623,16756
UKM92,Dumfries and Galloway,8870,9293,9211,10337,10752,10894,11490,11457,12034,12322,13313,13485,13954,14045,14129,15364,16174,16194,17406,18604
UKM93,East Ayrshire and North Ayrshire mainland,9081,8637,8967,9338,9391,9860,10165,10840,11340,11164,11410,10927,10960,10858,11127,11474,12340,12054,12683,13703
UKM94,South Ayrshire,9956,10213,10959,11052,11697,12177,13044,13394,14214,14484,15343,15208,15396,15699,15742,16320,17921,17797,18720,19799
UKM95,South Lanarkshire,9710,9699,10287,10500,10818,11803,12027,12863,13622,13578,14288,13788,13698,13972,14392,15481,16131,15704,16439,17486
UKN06,Belfast,22780,23752,25533,27252,28497,31213,32412,34358,35911,38006,38502,38908,37896,39423,41547,42354,43039,44613,46595,47893
UKN07,"Armagh City, Banbridge and Craigavon",10273,10864,11308,11451,11613,12617,13367,14028,14793,14867,14854,14266,13972,14183,14575,14997,15469,15899,16933,17531
UKN08,"Newry, Mourne and Down",8145,8538,9183,9577,9639,10585,10867,11377,12061,11957,11623,10739,11071,11324,11482,11706,12288,12704,13246,13766
UKN09,Ards and North Down,6192,6551,6944,7186,7176,7671,8017,8402,8900,9166,9134,8463,8730,8905,9022,9087,9565,9405,9695,10064
UKN10,Derry City and Strabane,9907,10535,10905,10991,11746,12244,13210,13842,14726,15005,14813,14311,14276,14220,14627,14859,15092,15475,16349,17193
UKN11,Mid Ulster,8639,8942,9696,9957,10318,11654,12201,13120,13838,13845,13325,12050,12517,12875,13146,13747,14226,14932,15961,16796
UKN12,Causeway Coast and Glens,7799,8470,9221,8908,8973,9711,10197,10676,11378,11512,11228,10310,10582,10594,10954,10933,11143,11323,11893,13129
UKN13,Antrim and Newtownabbey,10701,11314,12314,12585,12723,13791,14531,15051,15790,16188,16180,15431,15606,15704,15813,16220,16900,16964,17952,18082
UKN14,Lisburn and Castlereagh,10387,10989,11924,12601,12872,13661,14248,14888,15749,16356,15981,15398,15470,15261,15288,15454,15822,15685,16337,16598
UKN15,Mid and East Antrim,13394,12974,14026,13423,13412,13357,13658,14730,14426,14371,14469,15505,13646,13560,14246,14596,15090,14694,15614,15197
